RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3447,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
2566,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5017,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5332,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
6934,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3850,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3632,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
7817,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5052,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3183,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5399,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
6598,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
2851,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
