RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
5339,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
4644,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
5703,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2903,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2220,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3662,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3256,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3379,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3580,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3892,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
4085,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
4644,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2488,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
4950,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2426,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2332,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2926,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3731,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3030,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3962,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3428,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2719,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
4736,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2634,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3011,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2603,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2190,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2670,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
4187,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2609,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
5684,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2229,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2100,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
1961,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
7862,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
4267,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
6225,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2086,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2524,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3732,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
4080,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2660,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2449,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2882,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2439,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
