RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2783,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2289,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
4014,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3141,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2554,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3993,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3335,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
5615,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2279,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2568,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2232,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3791,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3552,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2531,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3016,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3305,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3790,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
