RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
5403,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
5487,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
5496,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
3887,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
3856,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
4153,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
2712,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
5192,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
106694,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
2831,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
4545,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
5240,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
6119,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
2632,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
2887,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
3665,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a270517b4a5de00011af15c,"05/06/2022, 10:59:44"
