RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2710,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3587,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3972,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
5852,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
7656,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3476,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2373,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3575,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3781,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
5463,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3663,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
8654,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
4002,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
8867,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
4088,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2944,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2047,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2924,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
4121,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2746,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
4125,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
7974,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2583,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3152,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
4210,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
8529,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3747,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2839,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
